PROJECT 1 - PART 1 BASELINE
EXPERIMENT 1 - NORMAL WORKLOAD
========================================
Samples: 1000
Normal iterations: 3500
Period: 100 ms
Deadline: 50 ms

Minimum execution time: 25.319 ms
Maximum execution time: 25.397 ms
Average execution time: 25.319 ms
Timing standard deviation: 0.003 ms
Deadline misses: 0
Deadline miss rate: 0.00 %
Task CPU utilization: 25.32 %

Free heap: 322552 bytes
Minimum free heap: 295364 bytes
Stack high-water mark: 3472 words

Baseline Experiment 1 complete.

========================================
RAW EXECUTION-TIME DATA [100 SAMPLES]
========================================
Run,Execution_Time_us

1,25397
2,25320
3,25328
4,25319
5,25320
6,25328
7,25319
8,25320
9,25327
10,25319
11,25319
12,25329
13,25320
14,25320
15,25319
16,25319
17,25319
18,25319
19,25319
20,25319
21,25319
22,25319
23,25319
24,25319
25,25319
26,25319
27,25319
28,25319
29,25319
30,25319
31,25319
32,25319
32,25319
33,25319
34,25319
35,25319
36,25319
37,25319
38,25319
39,25319
40,25319
41,25319
42,25319
43,25319
44,25319
45,25319
46,25319
47,25319
48,25319
49,25319
50,25319
51,25319
52,25319
53,25319
54,25319
55,25319
56,25319
57,25319
58,25319
59,25319
60,25319
61,25319
62,25319
63,25319
64,25319
65,25319
66,25319
67,25319
68,25319
69,25319
70,25319
71,25319
72,25319
73,25319
74,25319
75,25319
76,25319
77,25319
78,25319
79,25319
80,25319
81,25319
82,25319
83,25319
84,25319
85,25319
86,25319
87,25319
85,25319
86,25319
87,25319
88,25319
89,25319
90,25319
91,25319
92,25319
93,25319
94,25319
95,25319
96,25319
97,25319
98,25319
99,25319
100,25319
