PROJECT 1 - PART 1 BASELINE
EXPERIMENT 2 - HEAVY WORKLOAD
========================================
Samples: 1000
Normal iterations: 10000
Period: 100 ms
Deadline: 50 ms

Minimum execution time: 72.344 ms
Maximum execution time: 72.424 ms
Average execution time: 72.345 ms
Timing standard deviation: 0.003 ms
Deadline misses: 1000
Deadline miss rate: 100.00 %
Task CPU utilization: 72.35 %

Free heap: 322552 bytes
Minimum free heap: 295364 bytes
Stack high-water mark: 3472 words

Baseline Experiment 2 complete.

========================================
RAW EXECUTION-TIME DATA
========================================
Run,Execution_Time_us

1,72424
2,72345
3,72354
4,72345
5,72345
6,72354
7,72344
8,72345
9,72354
10,72345
11,72355
12,72345
13,72344
14,72355
15,72344
16,72345
17,72354
18,72345
19,72345
20,72353
21,72344
22,72355
23,72344
24,72344
25,72354
26,72344
27,72345
28,72354
29,72344
30,72345
31,72354
32,72344
33,72345
34,72354
35,72346
36,72355
37,72344
38,72345
39,72345
40,72345
41,72345
42,72345
43,72345
44,72345
45,72345
46,72345
47,72345
48,72345
49,72345
50,72345
51,72345
52,72345
53,72345
54,72345
55,72345
56,72345
57,72345
58,72345
59,72345
60,72345
61,72345
62,72345
63,72345
64,72345
65,72345
66,72345
67,72345
68,72345
69,72345
70,72345
71,72345
72,72345
73,72345
74,72345
75,72345
76,72345
77,72345
78,72345
79,72345
80,72345
81,72345
82,72345
83,72345
84,72345
85,72345
86,72345
87,72345
88,72345
89,72345
90,72345
91,72345
92,72345
93,72345
94,72345
95,72345
96,72345
97,72345
98,72345
99,72345
100,72345
