PROJECT 1 - PART 1 BASELINE
EXPERIMENT 3 - CORE CONTENTION
========================================
Samples: 1000
Baseline iterations: 3500
Contender iterations: 5000
Contender delay: 10 ms
Period: 100 ms
Deadline: 50 ms

Minimum execution time: 39.490 ms
Maximum execution time: 50.354 ms
Average execution time: 43.347 ms
Timing standard deviation: 4.523 ms
Deadline misses: 232
Deadline miss rate: 23.20 %
Baseline task CPU utilization: 43.35 %

Free heap: 317808 bytes
Minimum free heap: 295364 bytes
Baseline stack high-water mark: 3468 words

Baseline Experiment 3 complete.

RAW EXECUTION-TIME DATA
========================================
Run,Execution_Time_us
1,39510
2,47079
3,44345
4,41982
5,49352
6,39897
7,50353
8,39813
9,50353
10,39730
11,50294
12,41341
13,45204
14,46348
15,41116
16,50354
17,41034
18,50353
19,39942
20,50353
21,42343
22,39495
23,39502
24,45518
25,50353
26,39491
27,39499
28,43513
29,50353
30,39490
31,39495
32,39504
33,46521
34,50353
35,39494
36,39502
37,45518
38,50353
39,39491
40,39499
41,43513
42,50353
43,39490
44,39495
45,39504
46,46521
47,50353
48,39494
49,39502
50,45518
51,50353
52,39491
53,39499
54,43513
55,50353
56,39490
57,39495
58,39504
59,46521
60,50353
61,39494
62,39500
63,45519
64,50353
65,39491
66,39499
67,43513
68,50353
69,39490
70,39495
71,39504
72,46521
73,50353
74,39494
75,39500
76,45519
77,50353
78,39491
79,39499
80,43513
81,50353
82,39490
83,39495
84,39504
85,46521
86,50353
87,39494
88,39502
89,45518
90,50353
91,39491
92,39499
93,43513
94,50353
95,39490
96,39495
97,39504
98,46521
99,50353
100,39494
