PROJECT 1 - PART 2
EXPERIMENT 2 - HEAVY WORKLOAD
RUNTIME MONITOR
========================================
Samples: 1000
Iterations: 10000
Period: 100 ms
Deadline: 50 ms

Minimum workload execution time: 72.389 ms
Maximum workload execution time: 72.481 ms
Average workload execution time: 72.394 ms
Workload timing standard deviation: 0.003 ms

Minimum monitored execution time: 72.395 ms
Maximum monitored execution time: 72.490 ms
Average monitored execution time: 72.400 ms
Monitored timing standard deviation: 0.003 ms


Average monitoring overhead: 0.006 ms
Monitoring overhead percentage: 0.009 %

Detected deadline anomalies: 1000
Deadline misses: 1000

Monitored task CPU utilization: 72.39 %
Runtime monitor CPU utilization: 0.003 %
Monitor events processed: 2000

Free heap: 305356 bytes
Minimum free heap: 283300 bytes
Monitored task stack high-water mark: 3388 words

Part 2 Experiment 2 complete.


========================================
RAW RUNTIME MONITOR DATA
========================================
Run,Workload_ms,Monitored_ms,Overhead_ms,Deadline_Miss
1,72.481,72.490,0.009,1
2,72.389,72.395,0.006,1
3,72.404,72.412,0.008,1
4,72.395,72.402,0.007,1
5,72.404,72.410,0.006,1
6,72.395,72.402,0.007,1
7,72.396,72.416,0.020,1
8,72.392,72.400,0.008,1
9,72.396,72.403,0.007,1
10,72.404,72.410,0.006,1
11,72.395,72.402,0.007,1
12,72.404,72.410,0.006,1
13,72.395,72.403,0.008,1
14,72.395,72.401,0.006,1
15,72.404,72.411,0.007,1
16,72.395,72.402,0.007,1
17,72.405,72.411,0.006,1
18,72.394,72.402,0.008,1
19,72.405,72.411,0.006,1
20,72.396,72.403,0.007,1
21,72.396,72.403,0.007,1
22,72.404,72.411,0.007,1
23,72.395,72.402,0.007,1
24,72.405,72.411,0.006,1
25,72.394,72.401,0.007,1
26,72.397,72.403,0.006,1
27,72.405,72.411,0.006,1
28,72.395,72.401,0.006,1
29,72.404,72.412,0.008,1
30,72.396,72.403,0.007,1
31,72.404,72.411,0.007,1
32,72.395,72.401,0.006,1
33,72.394,72.401,0.007,1
34,72.405,72.412,0.007,1
35,72.395,72.402,0.007,1
36,72.404,72.412,0.008,1
37,72.395,72.401,0.006,1
38,72.393,72.399,0.006,1
39,72.393,72.400,0.007,1
40,72.394,72.400,0.006,1
41,72.393,72.399,0.006,1
42,72.393,72.400,0.007,1
43,72.394,72.400,0.006,1
44,72.393,72.399,0.006,1
45,72.393,72.400,0.007,1
46,72.394,72.400,0.006,1
47,72.393,72.399,0.006,1
48,72.393,72.400,0.007,1
49,72.393,72.399,0.006,1
50,72.393,72.400,0.007,1
51,72.394,72.400,0.006,1
52,72.393,72.399,0.006,1
53,72.393,72.400,0.007,1
54,72.393,72.400,0.007,1
55,72.394,72.400,0.006,1
56,72.393,72.399,0.006,1
57,72.394,72.400,0.006,1
58,72.393,72.399,0.006,1
59,72.393,72.400,0.007,1
60,72.394,72.400,0.006,1
61,72.393,72.399,0.006,1
62,72.394,72.400,0.006,1
63,72.393,72.399,0.006,1
64,72.394,72.400,0.006,1
65,72.393,72.399,0.006,1
66,72.393,72.400,0.007,1
67,72.394,72.400,0.006,1
68,72.393,72.399,0.006,1
69,72.393,72.400,0.007,1
70,72.394,72.400,0.006,1
71,72.393,72.399,0.006,1
72,72.393,72.400,0.007,1
73,72.393,72.399,0.006,1
74,72.394,72.400,0.006,1
75,72.393,72.400,0.007,1
76,72.394,72.400,0.006,1
77,72.393,72.399,0.006,1
78,72.393,72.400,0.007,1
79,72.394,72.400,0.006,1
80,72.393,72.399,0.006,1
81,72.394,72.400,0.006,1
82,72.393,72.399,0.006,1
83,72.394,72.400,0.006,1
84,72.393,72.400,0.007,1
85,72.394,72.400,0.006,1
86,72.393,72.399,0.006,1
87,72.394,72.400,0.006,1
88,72.393,72.399,0.006,1
89,72.394,72.400,0.006,1
90,72.393,72.399,0.006,1
91,72.394,72.400,0.006,1
92,72.393,72.400,0.007,1
93,72.394,72.400,0.006,1
94,72.393,72.399,0.006,1
95,72.394,72.400,0.006,1
96,72.393,72.399,0.006,1
97,72.394,72.400,0.006,1
98,72.393,72.399,0.006,1
99,72.394,72.400,0.006,1
100,72.393,72.399,0.006,1
