========================================
PROJECT 1 - PART 2
EXPERIMENT 3 - CORE CONTENTION
RUNTIME MONITOR
========================================
Samples: 1000
Baseline iterations: 4500
Contender iterations: 5000
Contender delay: 10 ms
Period: 100 ms
Deadline: 50 ms

Minimum workload execution time: 53.748 ms
Maximum workload execution time: 64.704 ms
Average workload execution time: 56.704 ms
Workload timing standard deviation: 3.709 ms

Minimum monitored execution time: 53.755 ms
Maximum monitored execution time: 64.714 ms
Average monitored execution time: 56.711 ms
Monitored timing standard deviation: 3.709 ms

Average monitoring overhead: 0.007 ms
Monitoring overhead percentage: 0.013 %

Detected deadline anomalies: 1000
Deadline misses: 1000

Monitored task CPU utilization: 56.70 %
Runtime monitor CPU utilization: 0.003 %
Monitor events processed: 2000

Free heap: 300612 bytes
Minimum free heap: 283300 bytes
Monitored task stack high-water mark: 3388 words

Part 2 Experiment 3 complete.



========================================
RAW RUNTIME MONITOR DATA
========================================
Run,Workload_ms,Monitored_ms,Overhead_ms,Deadline_Miss
1,64.704,64.714,0.010,1
2,55.567,55.574,0.007,1
3,55.416,55.423,0.007,1
4,62.270,62.277,0.007,1
5,57.613,57.619,0.006,1
6,53.748,53.755,0.007,1
7,58.599,58.606,0.007,1
8,62.628,62.635,0.007,1
9,55.095,55.102,0.007,1
10,53.931,53.939,0.008,1
11,64.619,64.627,0.008,1
12,55.429,55.436,0.007,1
13,55.278,55.285,0.007,1
14,59.130,59.138,0.008,1
15,60.610,60.618,0.008,1
16,55.609,55.616,0.007,1
17,55.457,55.464,0.007,1
18,64.619,64.626,0.007,1
19,53.942,53.950,0.008,1
20,53.789,53.797,0.008,1
21,63.649,63.656,0.007,1
22,55.619,55.626,0.007,1
23,55.136,55.143,0.007,1
24,57.979,57.987,0.008,1
25,62.616,62.622,0.006,1
26,53.792,53.800,0.008,1
27,59.816,59.823,0.007,1
28,53.777,53.785,0.008,1
29,53.794,53.801,0.007,1
30,61.821,61.828,0.007,1
31,53.783,53.790,0.007,1
32,53.800,53.808,0.008,1
33,64.619,64.626,0.007,1
34,53.789,53.797,0.008,1
35,57.811,57.819,0.008,1
36,56.610,56.617,0.007,1
37,53.792,53.800,0.008,1
38,59.816,59.823,0.007,1
39,53.777,53.785,0.008,1
40,53.794,53.802,0.008,1
41,61.821,61.828,0.007,1
42,53.783,53.790,0.007,1
43,53.800,53.808,0.008,1
44,64.619,64.626,0.007,1
45,53.789,53.797,0.008,1
46,57.811,57.819,0.008,1
47,56.610,56.617,0.007,1
48,53.792,53.800,0.008,1
49,59.816,59.823,0.007,1
50,53.777,53.785,0.008,1
51,53.794,53.801,0.007,1
52,61.821,61.828,0.007,1
53,53.783,53.790,0.007,1
54,53.800,53.808,0.008,1
55,64.619,64.626,0.007,1
56,53.789,53.797,0.008,1
57,57.811,57.819,0.008,1
58,56.610,56.617,0.007,1
59,53.792,53.800,0.008,1
60,59.816,59.823,0.007,1
61,53.777,53.785,0.008,1
62,53.794,53.801,0.007,1
63,61.821,61.828,0.007,1
64,53.783,53.790,0.007,1
65,53.800,53.808,0.008,1
66,64.619,64.626,0.007,1
67,53.789,53.797,0.008,1
68,57.811,57.819,0.008,1
69,56.610,56.617,0.007,1
70,53.792,53.800,0.008,1
71,59.816,59.823,0.007,1
72,53.777,53.785,0.008,1
73,53.794,53.802,0.008,1
74,61.821,61.828,0.007,1
75,53.783,53.790,0.007,1
76,53.800,53.808,0.008,1
77,64.619,64.626,0.007,1
78,53.789,53.797,0.008,1
79,57.811,57.819,0.008,1
80,56.610,56.617,0.007,1
81,53.792,53.800,0.008,1
82,59.816,59.823,0.007,1
83,53.777,53.785,0.008,1
84,53.794,53.801,0.007,1
85,61.821,61.828,0.007,1
86,53.783,53.790,0.007,1
87,53.800,53.808,0.008,1
88,64.619,64.626,0.007,1
89,53.788,53.795,0.007,1
90,57.811,57.819,0.008,1
91,56.610,56.617,0.007,1
92,53.792,53.800,0.008,1
93,59.816,59.823,0.007,1
94,53.777,53.785,0.008,1
95,53.794,53.801,0.007,1
96,61.821,61.828,0.007,1
97,53.783,53.790,0.007,1
98,53.800,53.808,0.008,1
99,64.619,64.626,0.007,1
100,53.789,53.797,0.008,1
========================================
