
========================================
PROJECT 1 - PART 1
EXPERIMENT 2 - NORMAL WORKLOAD
ADAPTIVE RUNTIME MONITOR
========================================
Samples: 1000
Normal workload iterations: 3500
Period: 100 ms
Deadline: 50 ms

Adaptation interval: 10 samples
Hysteresis cycles: 3
FULL threshold: < 25 ms
BALANCED threshold: < 40 ms
LIGHT threshold: <= 50 ms

Minimum workload execution time: 25.337 ms
Maximum workload execution time: 25.431 ms
Average workload execution time: 25.340 ms
Workload timing standard deviation: 0.003 ms

Minimum monitored execution time: 25.343 ms
Maximum monitored execution time: 25.439 ms
Average monitored execution time: 25.347 ms
Monitored timing standard deviation: 0.003 ms

FULL-mode monitored samples: 29
BALANCED-mode monitored samples: 971
LIGHT-mode monitored samples: 0
CRITICAL-mode monitored samples: 0
Mode changes: 1

Monitoring coverage: 100.00 %

Average monitoring overhead: 0.007 ms
Monitoring overhead percentage: 0.028 %

Detected deadline anomalies: 0
Deadline misses: 0
Deadline anomaly rate: 0.00 %

Monitored task CPU utilization: 25.34 %
Runtime monitor CPU utilization: 0.004 %
Monitor events processed: 2000

Free heap: 301332 bytes
Minimum free heap: 279276 bytes
Monitored task stack high-water mark: 3388 words

Part 2 Experiment 2 complete.
========================================


========================================
RAW ADAPTIVE RUNTIME MONITOR DATA
========================================
Sample,Workload_ms,Monitored_ms,Overhead_ms,Mode,DeadlineMiss
1,25.431,25.439,0.008,FULL,0
2,25.337,25.343,0.006,FULL,0
3,25.352,25.359,0.007,FULL,0
4,25.343,25.349,0.006,FULL,0
5,25.343,25.351,0.008,FULL,0
6,25.352,25.358,0.006,FULL,0
7,25.344,25.350,0.006,FULL,0
8,25.344,25.350,0.006,FULL,0
9,25.340,25.346,0.006,FULL,0
10,25.343,25.350,0.007,FULL,0
11,25.346,25.352,0.006,FULL,0
12,25.342,25.349,0.007,FULL,0
13,25.343,25.350,0.007,FULL,0
14,25.352,25.359,0.007,FULL,0
15,25.340,25.347,0.007,FULL,0
16,25.340,25.347,0.007,FULL,0
17,25.340,25.347,0.007,FULL,0
18,25.340,25.347,0.007,FULL,0
19,25.340,25.347,0.007,FULL,0
20,25.340,25.347,0.007,FULL,0
21,25.340,25.347,0.007,FULL,0
22,25.340,25.347,0.007,FULL,0
23,25.340,25.347,0.007,FULL,0
24,25.340,25.347,0.007,FULL,0
25,25.340,25.347,0.007,FULL,0
26,25.340,25.347,0.007,FULL,0
27,25.340,25.347,0.007,FULL,0
28,25.340,25.347,0.007,FULL,0
29,25.340,25.347,0.007,FULL,0
30,25.340,25.347,0.007,BALANCED,0
31,25.340,25.347,0.007,BALANCED,0
32,25.340,25.347,0.007,BALANCED,0
33,25.340,25.347,0.007,BALANCED,0
34,25.340,25.347,0.007,BALANCED,0
35,25.340,25.347,0.007,BALANCED,0
36,25.340,25.347,0.007,BALANCED,0
37,25.340,25.347,0.007,BALANCED,0
38,25.340,25.347,0.007,BALANCED,0
39,25.340,25.347,0.007,BALANCED,0
40,25.340,25.347,0.007,BALANCED,0
41,25.340,25.347,0.007,BALANCED,0
42,25.340,25.347,0.007,BALANCED,0
43,25.340,25.347,0.007,BALANCED,0
44,25.340,25.347,0.007,BALANCED,0
45,25.340,25.347,0.007,BALANCED,0
46,25.340,25.347,0.007,BALANCED,0
47,25.340,25.347,0.007,BALANCED,0
48,25.340,25.347,0.007,BALANCED,0
49,25.340,25.347,0.007,BALANCED,0
50,25.340,25.347,0.007,BALANCED,0
51,25.340,25.347,0.007,BALANCED,0
52,25.340,25.347,0.007,BALANCED,0
53,25.340,25.347,0.007,BALANCED,0
54,25.340,25.347,0.007,BALANCED,0
55,25.340,25.347,0.007,BALANCED,0
56,25.340,25.347,0.007,BALANCED,0
57,25.340,25.347,0.007,BALANCED,0
58,25.340,25.347,0.007,BALANCED,0
59,25.340,25.347,0.007,BALANCED,0
60,25.340,25.347,0.007,BALANCED,0
61,25.340,25.347,0.007,BALANCED,0
62,25.340,25.347,0.007,BALANCED,0
63,25.340,25.347,0.007,BALANCED,0
64,25.340,25.347,0.007,BALANCED,0
65,25.340,25.347,0.007,BALANCED,0
66,25.340,25.347,0.007,BALANCED,0
67,25.340,25.347,0.007,BALANCED,0
68,25.340,25.347,0.007,BALANCED,0
69,25.340,25.347,0.007,BALANCED,0
70,25.340,25.347,0.007,BALANCED,0
71,25.340,25.347,0.007,BALANCED,0
72,25.340,25.347,0.007,BALANCED,0
73,25.340,25.347,0.007,BALANCED,0
74,25.340,25.347,0.007,BALANCED,0
75,25.340,25.347,0.007,BALANCED,0
76,25.340,25.347,0.007,BALANCED,0
77,25.340,25.347,0.007,BALANCED,0
78,25.340,25.347,0.007,BALANCED,0
79,25.340,25.347,0.007,BALANCED,0
