PROJECT 1 - PART 2
EXPERIMENT 2 - HEAVY WORKLOAD
ADAPTIVE RUNTIME MONITOR
========================================
Samples: 1000
Heavy workload iterations: 10000
Period: 100 ms
Deadline: 50 ms

Adaptation interval: 10 samples
Hysteresis cycles: 3
FULL threshold: < 25 ms
BALANCED threshold: < 40 ms
LIGHT threshold: <= 50 ms

Minimum workload execution time: 72.388 ms
Maximum workload execution time: 72.479 ms
Average workload execution time: 72.392 ms
Workload timing standard deviation: 0.003 ms

Minimum monitored execution time: 72.395 ms
Maximum monitored execution time: 72.486 ms
Average monitored execution time: 72.399 ms
Monitored timing standard deviation: 0.003 ms

FULL-mode monitored samples: 29
BALANCED-mode monitored samples: 0
LIGHT-mode monitored samples: 0
CRITICAL-mode monitored samples: 971
Mode changes: 1

Monitoring coverage: 100.00 %

Average monitoring overhead: 0.007 ms
Monitoring overhead percentage: 0.010 %

Detected deadline anomalies: 1000
Deadline misses: 1000
Deadline anomaly rate: 100.00 %

Monitored task CPU utilization: 72.39 %
Runtime monitor CPU utilization: 0.002 %
Monitor events processed: 2000

Free heap: 301332 bytes
Minimum free heap: 279276 bytes
Monitored task stack high-water mark: 3388 words

Part 2 Experiment 2 complete.


========================================
RAW ADAPTIVE RUNTIME MONITOR DATA
========================================
Sample,Workload_ms,Monitored_ms,Overhead_ms,Mode,DeadlineMiss
1,72.479,72.486,0.007,FULL,1
2,72.388,72.396,0.008,FULL,1
3,72.405,72.411,0.006,FULL,1
4,72.395,72.402,0.007,FULL,1
5,72.404,72.411,0.007,FULL,1
6,72.395,72.402,0.007,FULL,1
7,72.395,72.402,0.007,FULL,1
8,72.393,72.400,0.007,FULL,1
9,72.395,72.402,0.007,FULL,1
10,72.404,72.411,0.007,FULL,1
11,72.389,72.395,0.006,FULL,1
12,72.404,72.410,0.006,FULL,1
13,72.394,72.401,0.007,FULL,1
14,72.396,72.402,0.006,FULL,1
15,72.404,72.411,0.007,FULL,1
16,72.395,72.402,0.007,FULL,1
17,72.405,72.411,0.006,FULL,1
18,72.395,72.402,0.007,FULL,1
19,72.395,72.415,0.020,FULL,1
20,72.392,72.400,0.008,FULL,1
21,72.395,72.401,0.006,FULL,1
22,72.405,72.412,0.007,FULL,1
23,72.395,72.401,0.006,FULL,1
24,72.404,72.412,0.008,FULL,1
25,72.395,72.402,0.007,FULL,1
26,72.395,72.401,0.006,FULL,1
27,72.404,72.412,0.008,FULL,1
28,72.395,72.402,0.007,FULL,1
29,72.404,72.411,0.007,FULL,1
30,72.395,72.402,0.007,CRITICAL,1
31,72.397,72.405,0.008,CRITICAL,1
32,72.395,72.401,0.006,CRITICAL,1
33,72.395,72.402,0.007,CRITICAL,1
34,72.405,72.412,0.007,CRITICAL,1
35,72.395,72.402,0.007,CRITICAL,1
36,72.405,72.412,0.007,CRITICAL,1
37,72.394,72.402,0.008,CRITICAL,1
38,72.392,72.399,0.007,CRITICAL,1
39,72.392,72.399,0.007,CRITICAL,1
40,72.392,72.399,0.007,CRITICAL,1
41,72.392,72.399,0.007,CRITICAL,1
42,72.392,72.399,0.007,CRITICAL,1
43,72.392,72.399,0.007,CRITICAL,1
44,72.392,72.399,0.007,CRITICAL,1
45,72.392,72.399,0.007,CRITICAL,1
46,72.392,72.399,0.007,CRITICAL,1
47,72.392,72.399,0.007,CRITICAL,1
48,72.392,72.399,0.007,CRITICAL,1
49,72.392,72.399,0.007,CRITICAL,1
50,72.392,72.399,0.007,CRITICAL,1
51,72.392,72.399,0.007,CRITICAL,1
52,72.392,72.399,0.007,CRITICAL,1
53,72.392,72.399,0.007,CRITICAL,1
54,72.392,72.399,0.007,CRITICAL,1
55,72.392,72.399,0.007,CRITICAL,1
56,72.392,72.399,0.007,CRITICAL,1
57,72.392,72.399,0.007,CRITICAL,1
58,72.392,72.399,0.007,CRITICAL,1
59,72.392,72.399,0.007,CRITICAL,1
60,72.392,72.399,0.007,CRITICAL,1
61,72.392,72.399,0.007,CRITICAL,1
62,72.392,72.399,0.007,CRITICAL,1
63,72.392,72.399,0.007,CRITICAL,1
64,72.392,72.399,0.007,CRITICAL,1
65,72.392,72.399,0.007,CRITICAL,1
66,72.392,72.399,0.007,CRITICAL,1
67,72.392,72.399,0.007,CRITICAL,1
68,72.392,72.399,0.007,CRITICAL,1
69,72.392,72.399,0.007,CRITICAL,1
70,72.392,72.399,0.007,CRITICAL,1
71,72.392,72.399,0.007,CRITICAL,1
72,72.392,72.399,0.007,CRITICAL,1
73,72.392,72.399,0.007,CRITICAL,1
74,72.392,72.399,0.007,CRITICAL,1
75,72.392,72.399,0.007,CRITICAL,1
76,72.392,72.399,0.007,CRITICAL,1
77,72.392,72.399,0.007,CRITICAL,1
78,72.392,72.399,0.007,CRITICAL,1
79,72.392,72.399,0.007,CRITICAL,1
80,72.392,72.399,0.007,CRITICAL,1
81,72.392,72.399,0.007,CRITICAL,1
82,72.392,72.399,0.007,CRITICAL,1
83,72.392,72.399,0.007,CRITICAL,1
84,72.392,72.399,0.007,CRITICAL,1
85,72.392,72.399,0.007,CRITICAL,1
86,72.392,72.399,0.007,CRITICAL,1
87,72.392,72.399,0.007,CRITICAL,1
88,72.392,72.399,0.007,CRITICAL,1
89,72.392,72.399,0.007,CRITICAL,1
90,72.392,72.399,0.007,CRITICAL,1
91,72.392,72.399,0.007,CRITICAL,1
92,72.392,72.399,0.007,CRITICAL,1
93,72.392,72.399,0.007,CRITICAL,1
94,72.392,72.399,0.007,CRITICAL,1
95,72.392,72.399,0.007,CRITICAL,1
96,72.392,72.399,0.007,CRITICAL,1
97,72.392,72.399,0.007,CRITICAL,1
98,72.392,72.399,0.007,CRITICAL,1
99,72.392,72.399,0.007,CRITICAL,1
100,72.392,72.399,0.007,CRITICAL,1
