========================================
PROJECT 1 - PART 3
EXPERIMENT 3 - CORE CONTENTION
ADAPTIVE/CONTEXT-AWARE RUNTIME MONITOR
========================================
Samples: 1000
Baseline iterations: 4500
Contender iterations: 5000
Contender delay: 10 ms
Period: 100 ms
Deadline: 50 ms

Minimum workload execution time: 53.745 ms
Maximum workload execution time: 64.704 ms
Average workload execution time: 56.704 ms
Workload timing standard deviation: 3.711 ms

Minimum monitored execution time: 53.752 ms
Maximum monitored execution time: 64.711 ms
Average monitored execution time: 56.711 ms
Monitored timing standard deviation: 3.711 ms

FULL-mode monitored samples: 29
BALANCED-mode monitored samples: 0
LIGHT-mode monitored samples: 0
CRITICAL-mode monitored samples: 971
Mode changes: 1
Detailed monitoring calculations: 271

Monitoring coverage: 50.00 %
Monitor events processed: 1000

Detected deadline anomalies: 1000
Deadline misses: 1000
Deadline anomaly rate: 100.00 %

Average monitoring overhead: 0.007 ms
Monitoring overhead percentage: 0.013 %

Monitored task CPU utilization: 56.70 %
Runtime monitor CPU utilization: 0.003 %

Free heap: 292580 bytes
Minimum free heap: 275268 bytes
Monitor task stack high-water mark: 3388 words

Part 2 Experiment 3 adaptive run complete.
========================================




========================================
RAW ADAPTIVE RUNTIME MONITOR DATA
========================================
Sample,Workload_ms,Monitored_ms,Overhead_ms,Mode,DeadlineMiss,Detailed
1,64.704,64.711,0.007,FULL,1,1
2,55.560,55.567,0.007,FULL,1,1
3,55.409,55.416,0.007,FULL,1,1
4,62.264,62.271,0.007,FULL,1,1
5,57.614,57.620,0.006,FULL,1,1
6,53.745,53.752,0.007,FULL,1,1
7,58.596,58.603,0.007,FULL,1,1
8,62.628,62.636,0.008,FULL,1,1
9,55.093,55.100,0.007,FULL,1,1
10,53.932,53.938,0.006,FULL,1,1
11,64.619,64.626,0.007,FULL,1,1
12,55.428,55.436,0.008,FULL,1,1
13,55.278,55.285,0.007,FULL,1,1
14,59.131,59.138,0.007,FULL,1,1
15,60.618,60.625,0.007,FULL,1,1
16,54.617,54.623,0.006,FULL,1,1
17,55.465,55.472,0.007,FULL,1,1
18,64.619,64.626,0.007,FULL,1,1
19,53.952,53.958,0.006,FULL,1,1
20,53.801,53.808,0.007,FULL,1,1
21,64.619,64.626,0.007,FULL,1,1
22,55.618,55.625,0.007,FULL,1,1
23,55.146,55.154,0.008,FULL,1,1
24,57.990,58.005,0.015,FULL,1,1
25,62.616,62.623,0.007,FULL,1,1
26,53.792,53.799,0.007,FULL,1,1
27,59.816,59.823,0.007,FULL,1,1
28,53.777,53.784,0.007,FULL,1,1
29,53.794,53.801,0.007,FULL,1,1
30,61.821,61.829,0.008,CRITICAL,1,0
31,53.782,53.790,0.008,CRITICAL,1,0
32,53.800,53.807,0.007,CRITICAL,1,0
33,64.618,64.625,0.007,CRITICAL,1,1
34,53.789,53.796,0.007,CRITICAL,1,0
35,57.813,57.820,0.007,CRITICAL,1,0
36,56.611,56.617,0.006,CRITICAL,1,0
37,53.792,53.799,0.007,CRITICAL,1,1
38,59.816,59.823,0.007,CRITICAL,1,0
39,53.777,53.784,0.007,CRITICAL,1,0
40,53.794,53.801,0.007,CRITICAL,1,0
41,61.821,61.829,0.008,CRITICAL,1,1
42,53.782,53.790,0.008,CRITICAL,1,0
43,53.800,53.807,0.007,CRITICAL,1,0
44,64.619,64.626,0.007,CRITICAL,1,0
45,53.789,53.797,0.008,CRITICAL,1,1
46,57.812,57.819,0.007,CRITICAL,1,0
47,56.610,56.616,0.006,CRITICAL,1,0
48,53.794,53.800,0.006,CRITICAL,1,0
49,59.816,59.823,0.007,CRITICAL,1,1
50,53.777,53.784,0.007,CRITICAL,1,0
51,53.794,53.801,0.007,CRITICAL,1,0
52,61.821,61.829,0.008,CRITICAL,1,0
53,53.782,53.790,0.008,CRITICAL,1,1
54,53.800,53.807,0.007,CRITICAL,1,0
55,64.619,64.626,0.007,CRITICAL,1,0
56,53.789,53.797,0.008,CRITICAL,1,0
57,57.812,57.819,0.007,CRITICAL,1,1
