CPU usage vs Detection Accuracy  trade off experiment
========================================
Samples: 1000
Workload iterations: 10000
Period: 100 ms
Deadline: 50 ms

Pressure threshold: 5
Recovery threshold: 10
Sampling rates: FULL=1, MODERATE=2, LOW=5, MINIMAL=10

Minimum sampled workload execution time: 72.432 ms
Maximum sampled workload execution time: 72.526 ms
Average sampled workload execution time: 72.438 ms
Sampled workload timing standard deviation: 0.009 ms

Minimum sampled monitored execution time: 72.535 ms
Average sampled monitored execution time: 72.446 ms
Sampled monitored timing standard deviation: 0.009 ms

Monitoring coverage: 11.10 %
Full-mode monitored samples: 5
Moderate-mode monitored samples: 5
Low-mode monitored samples: 5
Minimal-mode monitored samples: 96
Mode changes: 3

Average monitoring overhead: 0.008 ms
Monitoring overhead percentage: 0.011 %

Sampled deadline anomalies detected: 111

Runtime monitor CPU utilization: 0.000 %
Monitor events processed: 222

Free heap: 301348 bytes
Minimum free heap: 279292 bytes
Monitor task stack high-water mark: 3404 words

========================================
RAW ADAPTIVE MONITOR DATA
========================================
Run,Monitored,Mode,Workload_ms,Monitored_ms,Overhead_ms,Deadline_Miss
1,1,FULL,72.526,72.535,0.009,1
2,1,FULL,72.432,72.452,0.020,1
3,1,FULL,72.438,72.445,0.007,1
4,1,FULL,72.440,72.446,0.006,1
5,1,FULL,72.447,72.454,0.007,1
6,0,MODERATE,SKIPPED,SKIPPED,SKIPPED,SKIPPED
7,1,MODERATE,72.446,72.454,0.008,1
8,0,MODERATE,SKIPPED,SKIPPED,SKIPPED,SKIPPED
9,1,MODERATE,72.446,72.453,0.007,1
10,0,MODERATE,SKIPPED,SKIPPED,SKIPPED,SKIPPED
11,1,MODERATE,72.447,72.453,0.006,1
12,0,MODERATE,SKIPPED,SKIPPED,SKIPPED,SKIPPED
13,1,MODERATE,72.447,72.455,0.008,1
14,0,MODERATE,SKIPPED,SKIPPED,SKIPPED,SKIPPED
15,1,MODERATE,72.437,72.444,0.007,1
16,1,LOW,72.448,72.456,0.008,1
17,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
18,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
19,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
20,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
21,1,LOW,72.436,72.443,0.007,1
22,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
23,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
24,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
25,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
26,1,LOW,72.437,72.444,0.007,1
27,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
28,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
29,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
30,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
31,1,LOW,72.445,72.452,0.007,1
32,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
33,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
34,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
35,0,LOW,SKIPPED,SKIPPED,SKIPPED,SKIPPED
36,1,LOW,72.446,72.454,0.008,1
37,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
38,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
39,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
40,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
41,1,MINIMAL,72.436,72.444,0.008,1
42,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
43,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
44,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
45,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
46,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
47,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
48,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
49,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
50,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
51,1,MINIMAL,72.436,72.444,0.008,1
52,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
53,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
54,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
55,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
56,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
57,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
58,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
59,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
60,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
61,1,MINIMAL,72.436,72.444,0.008,1
62,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
63,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
64,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
65,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
66,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
67,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
68,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
69,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
70,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
71,1,MINIMAL,72.436,72.444,0.008,1
72,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
73,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
74,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
75,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
76,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
77,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
78,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
79,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
80,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
81,1,MINIMAL,72.436,72.444,0.008,1
82,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
83,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
84,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
85,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
86,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
87,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
88,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
89,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
90,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
91,1,MINIMAL,72.436,72.444,0.008,1
92,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
93,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
94,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
95,0,MINIMAL,SKIPPED,SKIPPED,SKIPPED,SKIPPED
